Date,Price
02/10/21,47856.10043
03/10/21,48009.07696
04/10/21,48974.94564
05/10/21,50165.5875
06/10/21,54696.0897
07/10/21,54171.59329
08/10/21,54226.39876
09/10/21,54773.86552
10/10/21,55256.43145
11/10/21,57432.14438
12/10/21,55798.65086
13/10/21,56869.28693
14/10/21,57206.80485
15/10/21,61703.72718
16/10/21,60443.6774
17/10/21,61019.38364
18/10/21,62090.13705
19/10/21,63185.91868
20/10/21,66476.28349
21/10/21,62910.96133
22/10/21,60702.10362
23/10/21,61132.66642
24/10/21,60290.48616
25/10/21,62996.94082
26/10/21,62383.97483
27/10/21,58938.66342
28/10/21,60950.7054